"","Year","Country","Month","ISO3","Temperature","Rain"
"304","1926","Eritrea","Apr","ERI","26.1342","3.45001"
"305","1926","Eritrea","May","ERI","29.7614","10.6277"
"306","1926","Eritrea","Jun","ERI","30.3301","30.138"
"307","1926","Eritrea","Jul","ERI","28.5635","68.8212"
"308","1926","Eritrea","Aug","ERI","29.0912","59.123"
"309","1926","Eritrea","Sep","ERI","28.1784","29.8078"
"310","1926","Eritrea","Oct","ERI","26.7611","3.81688"
"311","1926","Eritrea","Nov","ERI","23.8612","6.58578"
"312","1926","Eritrea","Dec","ERI","23.3709","7.32225"
"313","1927","Eritrea","Jan","ERI","23.9665","3.22312"
"314","1927","Eritrea","Feb","ERI","22.3189","1.32204"
"315","1927","Eritrea","Mar","ERI","24.6731","0.78484"
"316","1927","Eritrea","Apr","ERI","25.3252","8.17549"
"317","1927","Eritrea","May","ERI","28.751","1.66081"
"318","1927","Eritrea","Jun","ERI","30.1274","8.67733"
"319","1927","Eritrea","Jul","ERI","28.1853","48.4133"
"320","1927","Eritrea","Aug","ERI","28.0406","80.5673"
"321","1927","Eritrea","Sep","ERI","27.3043","36.769"
"322","1927","Eritrea","Oct","ERI","28.4059","3.39425"
"323","1927","Eritrea","Nov","ERI","25.7097","9.23528"
"324","1927","Eritrea","Dec","ERI","26.0783","2.86755"
"325","1928","Eritrea","Jan","ERI","26.0091","5.00652"
"326","1928","Eritrea","Feb","ERI","23.8596","6.2498"
"327","1928","Eritrea","Mar","ERI","26.9104","5.62285"
"328","1928","Eritrea","Apr","ERI","28.0852","24.9074"
"329","1928","Eritrea","May","ERI","29.0211","10.8895"
"330","1928","Eritrea","Jun","ERI","30.3871","21.5788"
"331","1928","Eritrea","Jul","ERI","29.5181","41.955"
"332","1928","Eritrea","Aug","ERI","27.8734","70.2029"
"333","1928","Eritrea","Sep","ERI","29.0127","13.233"
"334","1928","Eritrea","Oct","ERI","27.3293","3.30517"
"335","1928","Eritrea","Nov","ERI","24.9958","8.42242"
"336","1928","Eritrea","Dec","ERI","24.5424","5.32282"
"337","1929","Eritrea","Jan","ERI","23.1868","5.11651"
"338","1929","Eritrea","Feb","ERI","25.0201","7.72088"
"339","1929","Eritrea","Mar","ERI","25.36","5.90953"
"340","1929","Eritrea","Apr","ERI","27.8543","35.8437"
"341","1929","Eritrea","May","ERI","28.8482","7.40543"
"342","1929","Eritrea","Jun","ERI","29.4293","32.7186"
"343","1929","Eritrea","Jul","ERI","26.087","127.693"
"344","1929","Eritrea","Aug","ERI","27.1939","92.7025"
"345","1929","Eritrea","Sep","ERI","27.6981","14.4231"
"346","1929","Eritrea","Oct","ERI","26.688","2.34653"
