"","Year","Country","JanTemperature","FebTemperature","MarTemperature","AprTemperature","MayTemperature","JunTemperature","JulTemperature","AugTemperature","SepTemperature","OctTemperature","NovTemperature","DecTemperature","JanRain","FebRain","MarRain","AprRain","MayRain","JunRain","JulRain","AugRain","SepRain","OctRain","NovRain","DecRain"
"829","1970","Namibia",24.9029,24.3416,23.3705,21.2223,17.2773,14.2199,13.6731,15.1721,18.6861,22.3616,22.3769,23.147,55.5417,58.8182,18.7713,7.74876,0.54375,0.49465,0.21231,0.81489,0.05969,14.3067,11.0272,41.3045
"841","1971","Namibia",23.706,23.1595,23.037,20.3404,17.2403,14.5592,14.2869,14.9723,18.9496,21.3565,22.3274,23.6784,78.1471,122.671,39.065,18.0629,6.69404,1.97011,0.94706,0.84252,0.02378,2.92065,12.6475,22.8282
"853","1972","Namibia",23.6444,23.2722,22.5086,20.3657,16.9499,14.7068,14.3604,15.8574,19.6534,22.752,24.7964,25.0065,90.5714,16.0729,118.853,25.5088,0.18937,0.2869,0.15264,0.07782,0.1227,8.93345,10.3312,16.911
"865","1973","Namibia",25.1465,23.4987,23.6601,21.2751,16.9323,15.6718,14.836,15.8919,18.8312,22.3409,23.0874,22.8341,21.7961,38.9703,72.5541,23.6076,0.28376,0.09173,1.9241,0.25711,0.05454,23.7375,12.2835,41.2788
"877","1974","Namibia",23.2922,22.5532,21.7121,19.9555,16.4323,14.1244,13.7549,14.92,18.2169,21.1458,22.3654,23.7375,188.555,148.653,61.8895,56.1861,1.07089,2.20951,0.00814,0.99717,2.29592,14.396,34.3562,31.4648
"889","1975","Namibia",24.0371,23.7951,21.8163,19.976,16.9323,14.9481,13.7614,14.991,19.5492,20.8075,23.0427,22.932,46.6701,39.6809,102.021,19.842,7.33861,0.49406,0.55796,0.26223,0.62568,1.52721,22.0391,27.2484
"901","1976","Namibia",23.1769,22.4108,21.4562,19.7622,16.5821,13.9138,13.4563,14.7791,18.7921,20.7077,20.8492,23.6041,156.637,109.589,116.135,28.6304,2.83963,1.69754,0.68555,0.22382,3.87001,9.94429,15.9035,16.726
"913","1977","Namibia",24.4863,23.6595,21.9368,20.6228,16.0289,14.2174,13.8075,16.2679,18.9186,22.1064,23.4351,24.3275,57.5476,124.028,53.2665,41.9076,3.26634,1.07342,0.15893,0.19885,2.68932,8.84122,14.5175,51.5705
"925","1978","Namibia",24.1493,23.0389,22.5884,19.4916,16.7633,14.3906,14.7923,15.7016,17.8278,20.2145,23.7998,23.9198,104.854,138.359,56.6561,20.6209,0.79391,0.00756,0.00212,1.36267,3.11183,4.87703,21.8759,22.7415
"937","1979","Namibia",24.3041,23.8249,22.5437,21.324,17.5703,14.9487,13.3569,16.0808,18.6665,21.5479,23.5433,24.9902,85.1446,111.811,12.2726,7.76044,8.7536,5.47308,1.45094,1.78664,4.65241,12.3578,38.0159,22.5767
"949","1980","Namibia",24.2624,23.9852,23.0901,20.6356,17.3493,14.6623,15.4368,17.444,19.1108,22.6334,21.0504,24.0992,22.464,74.1117,91.0357,5.65799,0.1826,0.61312,0.47112,2.1276,7.84819,1.49249,23.504,28.133
