"","Year","Country","JanTemperature","FebTemperature","MarTemperature","AprTemperature","MayTemperature","JunTemperature","JulTemperature","AugTemperature","SepTemperature","OctTemperature","NovTemperature","DecTemperature","JanRain","FebRain","MarRain","AprRain","MayRain","JunRain","JulRain","AugRain","SepRain","OctRain","NovRain","DecRain"
"853","1972","France",3.09399,5.55664,7.8358,8.76452,11.7511,14.2232,18.1033,17.049,13.1423,10.6763,7.19601,3.98038,83.2186,101.623,56.6071,65.8746,69.5511,80.9087,53.8836,76.358,53.8397,57.6762,92.645,56.2966
"865","1973","France",2.53418,3.1191,5.78502,7.55919,13.6061,17.0369,18.2096,20.0737,16.7344,10.2989,6.4855,3.43409,52.8094,56.1266,16.8811,48.2985,80.7158,63.9235,77.4754,44.4924,73.773,65.5037,46.7834,80.5913
"877","1974","France",5.99759,5.31188,7.28782,9.27503,12.3261,15.8671,17.7266,18.5834,14.4616,7.75749,7.37247,6.56819,64.3698,87.2824,79.3815,52.5347,64.384,67.0582,43.4812,66.9115,116.841,106.76,94.208,45.1696
"889","1975","France",6.05491,5.25968,5.19528,8.91472,12.0143,15.8123,19.1394,19.8261,16.0234,10.1582,6.50569,2.4126,77.6143,27.7846,88.8635,51.3448,90.9245,51.4368,40.4743,78.4175,119.246,35.6449,107.674,45.8753
"901","1976","France",3.77225,4.57028,5.80439,8.88651,14.0042,19.6062,20.2756,18.9309,14.6672,11.6617,6.27845,3.04703,32.7195,54.5952,34.8488,43.7636,38.9801,11.1009,62.7847,56.4211,104.726,124.346,99.0987,83.9374
"913","1977","France",3.58314,6.65479,8.23403,8.23455,11.9663,14.8406,17.6261,16.8341,14.6198,12.9196,6.87684,5.03044,93.3592,106.75,71.5092,63.3008,122.534,98.4455,104.563,89.5455,15.7224,88.6477,78.9407,78.0204
"925","1978","France",2.99958,3.85741,7.21369,7.72675,12.145,15.0395,17.215,17.1122,15.5306,11.3952,6.05454,5.0802,105.996,91.0703,105.513,77.0869,81.5523,66.7517,57.6502,41.6373,36.5835,18.9399,15.5946,121.825
"937","1979","France",1.3538,3.92152,6.64802,8.14483,12.3259,16.4554,18.5929,17.0235,15.563,12.3665,6.28423,5.43971,98.0128,93.5002,116.132,73.1114,85.7219,56.4388,31.4965,71.6533,37.471,138.726,66.0315,117.663
"949","1980","France",1.97045,6.14399,6.05077,8.33653,11.7666,14.8437,16.3638,18.7452,16.5603,10.5757,5.35365,2.55439,70.4335,57.0003,92.1928,31.2829,86.6682,84.2666,81.3219,56.1609,49.3691,94.6103,68.4283,65.9348
"961","1981","France",2.99642,2.42957,9.07722,10.0131,12.471,15.9363,17.4276,18.84,16.2622,11.2823,6.79356,4.04871,76.3021,44.8524,90.9581,42.5277,116.411,81.8204,70.1016,36.0567,93.2977,120.433,32.1889,154.909
"973","1982","France",4.62609,4.86889,6.24737,9.29442,13.3789,17.5786,20.2701,17.9456,17.496,11.324,8.26727,4.78871,80.9438,40.8014,68.3422,21.3089,57.0535,87.3749,68.8471,67.2853,70.9282,128.839,102.045,116.671
"985","1983","France",5.03271,2.25382,6.85003,8.96044,11.4405,17.2127,22.1943,19.3882,16.3189,11.7508,7.37172,4.10306,41.8746,71.0555,58.3233,127.032,122.454,56.6871,40.4284,80.4926,60.1054,56.7666,49.1858,61.6365
"997","1984","France",4.02851,3.3009,5.11954,9.44813,10.2567,15.8178,18.9276,18.3991,14.6144,11.7746,8.9852,4.19488,115.278,58.7107,63.1204,20.9813,131.024,52.8076,32.1042,63.7497,104.714,88.5059,115.217,65.787
"1009","1985","France",-1.4221,3.64408,5.02748,9.84693,12.407,15.2585,19.4874,17.5872,17.3378,12.221,4.05942,5.14875,58.7584,46.2021,79.6759,66.0976,116.726,73.9632,47.613,52.0987,17.1957,27.1027,62.7494,65.119
"1021","1986","France",3.73386,-0.6148,5.85573,6.75792,13.8125,17.0346,18.8651,17.7649,15.0486,13.1352,7.6654,4.75907,116.521,57.9155,70.7251,119.195,68.9135,43.9378,32.7462,66.7397,79.7306,75.3607,57.0012,81.2745
"1033","1987","France",-1.2751,3.55235,4.73045,10.8966,11.2862,15.0314,18.6265,18.6577,17.827,12.491,6.89917,4.94039,45.8177,64.2862,58.4978,53.3855,67.5225,104.93,97.2814,63.3667,57.3423,145.226,76.5531,58.6614
